country_code,year,population
ABW,2022,106445
ABW,2021,106537
ABW,2020,106585
ABW,2019,106442
ABW,2018,105962
ABW,2017,105439
ABW,2016,104874
ABW,2015,104257
ABW,2014,103594
ABW,2013,102880
ABW,2012,102112
ABW,2011,101288
ABW,2010,100341
ABW,2009,99212
ABW,2008,97996
ABW,2007,96787
ABW,2006,95606
ABW,2005,94483
ABW,2004,93540
ABW,2003,92701
ABW,2002,91781
ABW,2001,90691
ABW,2000,89101
ABW,1999,86867
ABW,1998,84355
ABW,1997,81858
ABW,1996,79417
ABW,1995,77050
ABW,1994,74710
ABW,1993,72360
ABW,1992,70192
ABW,1991,67864
ABW,1990,65712
ABW,1989,64596
ABW,1988,64332
ABW,1987,64450
ABW,1986,64553
ABW,1985,64478
ABW,1984,64174
ABW,1983,63683
ABW,1982,63116
ABW,1981,62614
ABW,1980,62267
ABW,1979,62006
ABW,1978,61738
ABW,1977,61465
ABW,1976,61193
ABW,1975,60715
ABW,1974,60028
ABW,1973,59365
ABW,1972,58855
ABW,1971,58816
ABW,1970,59106
ABW,1969,59330
ABW,1968,59471
ABW,1967,59522
ABW,1966,59291
ABW,1965,58782
ABW,1964,58178
ABW,1963,57475
ABW,1962,56682
ABW,1961,55811
ABW,1960,54608
AFG,2022,41128771
AFG,2021,40099462
AFG,2020,38972230
AFG,2019,37769499
AFG,2018,36686784
AFG,2017,35643418
AFG,2016,34636207
AFG,2015,33753499
AFG,2014,32716210
AFG,2013,31541209
AFG,2012,30466479
AFG,2011,29249157
AFG,2010,28189672
AFG,2009,27385307
AFG,2008,26427199
AFG,2007,25903301
AFG,2006,25442944
AFG,2005,24411191
AFG,2004,23553551
AFG,2003,22645130
AFG,2002,21000256
AFG,2001,19688632
AFG,2000,19542982
AFG,1999,19262847
AFG,1998,18493132
AFG,1997,17788819
AFG,1996,17106595
AFG,1995,16418912
AFG,1994,15455555
AFG,1993,14003760
AFG,1992,12057433
AFG,1991,10745167
AFG,1990,10694796
AFG,1989,10673168
AFG,1988,10383460
AFG,1987,10322758
AFG,1986,10448442
AFG,1985,10512221
AFG,1984,10243686
AFG,1983,9951449
AFG,1982,10088289
AFG,1981,11155195
AFG,1980,12486631
AFG,1979,12986369
AFG,1978,12938862
AFG,1977,12687301
AFG,1976,12425267
AFG,1975,12157386
AFG,1974,11869879
AFG,1973,11575305
AFG,1972,11286753
AFG,1971,11015857
AFG,1970,10752971
AFG,1969,10494489
AFG,1968,10247780
AFG,1967,10010030
AFG,1966,9783147
AFG,1965,9565147
AFG,1964,9355514
AFG,1963,9157465
AFG,1962,8969047
AFG,1961,8790140
AFG,1960,8622466
AGO,2022,35588987
AGO,2021,34503774
AGO,2020,33428486
AGO,2019,32353588
AGO,2018,31273533
AGO,2017,30208628
AGO,2016,29154746
AGO,2015,28127721
AGO,2014,27128337
AGO,2013,26147002
AGO,2012,25188292
AGO,2011,24259111
AGO,2010,23364185
AGO,2009,22507674
AGO,2008,21691522
AGO,2007,20909684
AGO,2006,20162340
AGO,2005,19450959
AGO,2004,18771125
AGO,2003,18124342
AGO,2002,17516139
AGO,2001,16941587
AGO,2000,16394062
AGO,1999,15870753
AGO,1998,15366864
AGO,1997,14871146
AGO,1996,14383350
AGO,1995,13912253
AGO,1994,13462031
AGO,1993,13038270
AGO,1992,12632507
AGO,1991,12228691
AGO,1990,11828638
AGO,1989,11439498
AGO,1988,11060261
AGO,1987,10694057
AGO,1986,10332574
AGO,1985,9970621
AGO,1984,9617702
AGO,1983,9276707
AGO,1982,8947152
AGO,1981,8631457
AGO,1980,8330047
AGO,1979,8043218
AGO,1978,7771590
AGO,1977,7511895
AGO,1976,7266780
AGO,1975,7032713
AGO,1974,6802494
AGO,1973,6578230
AGO,1972,6364731
AGO,1971,6177049
AGO,1970,6029700
AGO,1969,5928386
AGO,1968,5868203
AGO,1967,5827503
AGO,1966,5787044
AGO,1965,5736582
AGO,1964,5673199
AGO,1963,5599827
AGO,1962,5521400
AGO,1961,5441333
AGO,1960,5357195
ALB,2022,2777689
ALB,2021,2811666
ALB,2020,2837849
ALB,2019,2854191
ALB,2018,2866376
ALB,2017,2873457
ALB,2016,2876101
ALB,2015,2880703
ALB,2014,2889104
ALB,2013,2895092
ALB,2012,2900401
ALB,2011,2905195
ALB,2010,2913021
ALB,2009,2927519
ALB,2008,2947314
ALB,2007,2970017
ALB,2006,2992547
ALB,2005,3011487
ALB,2004,3026939
ALB,2003,3039616
ALB,2002,3051010
ALB,2001,3060173
ALB,2000,3089027
ALB,1999,3108778
ALB,1998,3128530
ALB,1997,3148281
ALB,1996,3168033
ALB,1995,3187784
ALB,1994,3207536
ALB,1993,3227287
ALB,1992,3247039
ALB,1991,3266790
ALB,1990,3286542
ALB,1989,3227943
ALB,1988,3142336
ALB,1987,3083605
ALB,1986,3022635
ALB,1985,2964762
ALB,1984,2904429
ALB,1983,2843960
ALB,1982,2784278
ALB,1981,2726056
ALB,1980,2671997
ALB,1979,2617832
ALB,1978,2566266
ALB,1977,2513546
ALB,1976,2458526
ALB,1975,2404831
ALB,1974,2350124
ALB,1973,2296752
ALB,1972,2243126
ALB,1971,2187853
ALB,1970,2135479
ALB,1969,2081695
ALB,1968,2022272
ALB,1967,1965598
ALB,1966,1914573
ALB,1965,1864791
ALB,1964,1814135
ALB,1963,1762621
ALB,1962,1711319
ALB,1961,1659800
ALB,1960,1608800
AND,2022,79824
AND,2021,79034
AND,2020,77700
AND,2019,76343
AND,2018,75013
AND,2017,73837
AND,2016,72540
AND,2015,71746
AND,2014,71621
AND,2013,71367
AND,2012,71013
AND,2011,70567
AND,2010,71519
AND,2009,73852
AND,2008,76055
AND,2007,78168
AND,2006,80221
AND,2005,79826
AND,2004,76933
AND,2003,73907
AND,2002,70849
AND,2001,67820
AND,2000,66097
AND,1999,65655
AND,1998,65186
AND,1997,64682
AND,1996,64147
AND,1995,62928
AND,1994,61037
AND,1993,59156
AND,1992,57283
AND,1991,55434
AND,1990,53569
AND,1989,51639
AND,1988,49654
AND,1987,47635
AND,1986,45605
AND,1985,43809
AND,1984,42181
AND,1983,40432
AND,1982,38598
AND,1981,36987
AND,1980,35611
AND,1979,34142
AND,1978,32574
AND,1977,30949
AND,1976,29294
AND,1975,27640
AND,1974,26003
AND,1973,24393
AND,1972,22832
AND,1971,21322
AND,1970,19860
AND,1969,18449
AND,1968,17079
AND,1967,15745
AND,1966,14546
AND,1965,13563
AND,1964,12690
AND,1963,11839
AND,1962,11014
AND,1961,10216
AND,1960,9443
ARE,2022,9441129
ARE,2021,9365145
ARE,2020,9287289
ARE,2019,9211657
ARE,2018,9140169
ARE,2017,9068296
ARE,2016,8994263
ARE,2015,8916899
ARE,2014,8835951
ARE,2013,8751847
ARE,2012,8664969
ARE,2011,8575205
ARE,2010,8481771
ARE,2009,7992644
ARE,2008,6988685
ARE,2007,5872624
ARE,2006,4898954
ARE,2005,4280993
ARE,2004,3993339
ARE,2003,3813443
ARE,2002,3633655
ARE,2001,3454198
ARE,2000,3275333
ARE,1999,3097563
ARE,1998,2921130
ARE,1997,2746119
ARE,1996,2572735
ARE,1995,2433988
ARE,1994,2329024
ARE,1993,2223284
ARE,1992,2116231
ARE,1991,2008383
ARE,1990,1900151
ARE,1989,1791840
ARE,1988,1683681
ARE,1987,1575909
ARE,1986,1468697
ARE,1985,1379536
ARE,1984,1308331
ARE,1983,1237572
ARE,1982,1167856
ARE,1981,1100180
ARE,1980,1014048
ARE,1979,908452
ARE,1978,805231
ARE,1977,706861
ARE,1976,614177
ARE,1975,543394
ARE,1974,491955
ARE,1973,441546
ARE,1972,392368
ARE,1971,344513
ARE,1970,298084
ARE,1969,253261
ARE,1968,213582
ARE,1967,191404
ARE,1966,182509
ARE,1965,173797
ARE,1964,165305
ARE,1963,157006
ARE,1962,148877
ARE,1961,140984
ARE,1960,133426
ARG,2022,46234830
ARG,2021,45808747
ARG,2020,45376763
ARG,2019,44938712
ARG,2018,44494502
ARG,2017,44044811
ARG,2016,43590368
ARG,2015,43131966
ARG,2014,42669500
ARG,2013,42202935
ARG,2012,41733271
ARG,2011,41261490
ARG,2010,40788453
ARG,2009,40684338
ARG,2008,40273769
ARG,2007,39876111
ARG,2006,39476851
ARG,2005,39070501
ARG,2004,38668796
ARG,2003,38278164
ARG,2002,37885028
ARG,2001,37480493
ARG,2000,37070774
ARG,1999,36653031
ARG,1998,36233195
ARG,1997,35815971
ARG,1996,35389362
ARG,1995,34946110
ARG,1994,34488696
ARG,1993,34027240
ARG,1992,33568285
ARG,1991,33105763
ARG,1990,32637657
ARG,1989,32165766
ARG,1988,31690792
ARG,1987,31216453
ARG,1986,30748326
ARG,1985,30287112
ARG,1984,29832197
ARG,1983,29377137
ARG,1982,28922762
ARG,1981,28471285
ARG,1980,28024803
ARG,1979,27584134
ARG,1978,27146121
ARG,1977,26713780
ARG,1976,26290257
ARG,1975,25875558
ARG,1974,25449754
ARG,1973,25020588
ARG,1972,24612794
ARG,1971,24223379
ARG,1970,23842803
ARG,1969,23472028
ARG,1968,23112971
ARG,1967,22757014
ARG,1966,22403116
ARG,1965,22053661
ARG,1964,21708487
ARG,1963,21364017
ARG,1962,21020359
ARG,1961,20680653
ARG,1960,20349744
ARM,2022,2780469
ARM,2021,2790974
ARM,2020,2805608
ARM,2019,2820602
ARM,2018,2836557
ARM,2017,2851923
ARM,2016,2865835
ARM,2015,2878595
ARM,2014,2889930
ARM,2013,2901385
ARM,2012,2914421
ARM,2011,2928976
ARM,2010,2946293
ARM,2009,2964296
ARM,2008,2983421
ARM,2007,3004393
ARM,2006,3026486
ARM,2005,3047246
ARM,2004,3065745
ARM,2003,3084102
ARM,2002,3105037
ARM,2001,3133133
ARM,2000,3168523
ARM,1999,3206030
ARM,1998,3240550
ARM,1997,3271418
ARM,1996,3298898
ARM,1995,3322782
ARM,1994,3373713
ARM,1993,3457349
ARM,1992,3574555
ARM,1991,3617631
ARM,1990,3556539
ARM,1989,3448186
ARM,1988,3366838
ARM,1987,3351364
ARM,1986,3327182
ARM,1985,3300896
ARM,1984,3272102
ARM,1983,3238291
ARM,1982,3202011
ARM,1981,3167876
ARM,1980,3135123
ARM,1979,3097058
ARM,1978,3038224
ARM,1977,2965523
ARM,1976,2896311
ARM,1975,2830798
ARM,1974,2767646
ARM,1973,2706852
ARM,1972,2648048
ARM,1971,2590923
ARM,1970,2534377
ARM,1969,2476359
ARM,1968,2416461
ARM,1967,2355997
ARM,1966,2295496
ARM,1965,2234051
ARM,1964,2171029
ARM,1963,2106142
ARM,1962,2039346
ARM,1961,1971530
ARM,1960,1904148
ASM,2022,44273
ASM,2021,45035
ASM,2020,46189
ASM,2019,47321
ASM,2018,48424
ASM,2017,49463
ASM,2016,50448
ASM,2015,51368
ASM,2014,52217
ASM,2013,52995
ASM,2012,53691
ASM,2011,54310
ASM,2010,54849
ASM,2009,55366
ASM,2008,55891
ASM,2007,56383
ASM,2006,56837
ASM,2005,57254
ASM,2004,57626
ASM,2003,57941
ASM,2002,58177
ASM,2001,58324
ASM,2000,58230
ASM,1999,57594
ASM,1998,56603
ASM,1997,55578
ASM,1996,54500
ASM,1995,53401
ASM,1994,52288
ASM,1993,51174
ASM,1992,50078
ASM,1991,48992
ASM,1990,47818
ASM,1989,46288
ASM,1988,44532
ASM,1987,42842
ASM,1986,41221
ASM,1985,39663
ASM,1984,38168
ASM,1983,36735
ASM,1982,35367
ASM,1981,34059
ASM,1980,32886
ASM,1979,32045
ASM,1978,31428
ASM,1977,30816
ASM,1976,30198
ASM,1975,29573
ASM,1974,29012
ASM,1973,28529
ASM,1972,28063
ASM,1971,27593
ASM,1970,27075
ASM,1969,26396
ASM,1968,25608
ASM,1967,24848
ASM,1966,24122
ASM,1965,23391
ASM,1964,22656
ASM,1963,21949
ASM,1962,21272
ASM,1961,20626
ASM,1960,20085
ATG,2022,93763
ATG,2021,93219
ATG,2020,92664
ATG,2019,92117
ATG,2018,91626
ATG,2017,91119
ATG,2016,90564
ATG,2015,89941
ATG,2014,89236
ATG,2013,88497
ATG,2012,87674
ATG,2011,86729
ATG,2010,85695
ATG,2009,84534
ATG,2008,83251
ATG,2007,82016
ATG,2006,80895
ATG,2005,79869
ATG,2004,78941
ATG,2003,78075
ATG,2002,77195
ATG,2001,76215
ATG,2000,75055
ATG,1999,73821
ATG,1998,72572
ATG,1997,71218
ATG,1996,69798
ATG,1995,68398
ATG,1994,67072
ATG,1993,65834
ATG,1992,64659
ATG,1991,63634
ATG,1990,63328
ATG,1989,63636
ATG,1988,63982
ATG,1987,64353
ATG,1986,64712
ATG,1985,65048
ATG,1984,65362
ATG,1983,65408
ATG,1982,65231
ATG,1981,65076
ATG,1980,64889
ATG,1979,64609
ATG,1978,64329
ATG,1977,64117
ATG,1976,63990
ATG,1975,64035
ATG,1974,64218
ATG,1973,64463
ATG,1972,64695
ATG,1971,64769
ATG,1970,64517
ATG,1969,63742
ATG,1968,62658
ATG,1967,61617
ATG,1966,60615
ATG,1965,59644
ATG,1964,58664
ATG,1963,57778
ATG,1962,57008
ATG,1961,56245
ATG,1960,55342
AUS,2022,26005540
AUS,2021,25685412
AUS,2020,25649248
AUS,2019,25334826
AUS,2018,24963258
AUS,2017,24592588
AUS,2016,24190907
AUS,2015,23815995
AUS,2014,23475686
AUS,2013,23128129
AUS,2012,22733465
AUS,2011,22340024
AUS,2010,22031750
AUS,2009,21691653
AUS,2008,21249199
AUS,2007,20827622
AUS,2006,20450966
AUS,2005,20176844
AUS,2004,19932722
AUS,2003,19720737
AUS,2002,19495210
AUS,2001,19274701
AUS,2000,19028802
AUS,1999,18812264
AUS,1998,18607584
AUS,1997,18423037
AUS,1996,18224767
AUS,1995,18004882
AUS,1994,17805468
AUS,1993,17634808
AUS,1992,17478635
AUS,1991,17284036
AUS,1990,17065128
AUS,1989,16814416
AUS,1988,16532164
AUS,1987,16263874
AUS,1986,16018350
AUS,1985,15788312
AUS,1984,15579391
AUS,1983,15393472
AUS,1982,15184247
AUS,1981,14923260
AUS,1980,14692000
AUS,1979,14514000
AUS,1978,14358000
AUS,1977,14192000
AUS,1976,14033000
AUS,1975,13893000
AUS,1974,13723000
AUS,1973,13380000
AUS,1972,13177000
AUS,1971,12937000
AUS,1970,12507000
AUS,1969,12263000
AUS,1968,12009000
AUS,1967,11799000
AUS,1966,11651000
AUS,1965,11388000
AUS,1964,11167000
AUS,1963,10950000
AUS,1962,10742000
AUS,1961,10483000
AUS,1960,10276477
AUT,2022,9041851
AUT,2021,8955797
AUT,2020,8916864
AUT,2019,8879920
AUT,2018,8840521
AUT,2017,8797566
AUT,2016,8736668
AUT,2015,8642699
AUT,2014,8546356
AUT,2013,8479823
AUT,2012,8429991
AUT,2011,8391643
AUT,2010,8363404
AUT,2009,8343323
AUT,2008,8321496
AUT,2007,8295487
AUT,2006,8268641
AUT,2005,8227829
AUT,2004,8171966
AUT,2003,8121423
AUT,2002,8081957
AUT,2001,8042293
AUT,2000,8011566
AUT,1999,7992324
AUT,1998,7976789
AUT,1997,7968041
AUT,1996,7959017
AUT,1995,7948278
AUT,1994,7936118
AUT,1993,7905633
AUT,1992,7840709
AUT,1991,7754891
AUT,1990,7677850
AUT,1989,7619567
AUT,1988,7585317
AUT,1987,7574586
AUT,1986,7569794
AUT,1985,7564985
AUT,1984,7561434
AUT,1983,7561910
AUT,1982,7574140
